year,airline,scheduled,flown,cancelled,arr_on_time,arr_delayed,cancellation_rate,arrival_otp
2023,Bonza,138,120,18,44,76,0.130434782609,0.366666666667
2023,Jetstar,71428,67354,4074,43898,23456,0.0570364562917,0.651750452831
2023,Qantas,89875,86715,3160,61256,25459,0.0351599443672,0.706406042784
2023,QantasLink,97051,93236,3815,69538,23698,0.0393092291682,0.74582779184
2023,Rex Airlines,33284,32652,632,24199,8453,0.0189881023915,0.74111846135
2023,Virgin Australia,136338,130562,5776,86292,44270,0.0423652980094,0.6609273755
2023,Virgin Australia Regional Airlines,4388,4156,232,2723,1433,0.052871467639,0.655197305101
2024,Bonza,232,224,8,113,111,0.0344827586207,0.504464285714
2024,Jetstar,75197,73585,1612,53561,20024,0.0214370254132,0.727879323232
2024,Qantas,88899,86126,2773,63280,22846,0.0311927018302,0.734737477649
2024,QantasLink,93843,90532,3311,67064,23468,0.0352823332587,0.740776741926
2024,Rex Airlines,26702,26056,646,20043,6013,0.0241929443487,0.76922781701
2024,Virgin Australia,137366,134587,2779,97514,37073,0.0202306247543,0.724542489245
2024,Virgin Australia Regional Airlines,3363,3267,96,2174,1093,0.028545941124,0.665442301806
2025,Jetstar,79666,77760,1906,57807,19953,0.0239248864007,0.743402777778
2025,Qantas,85169,82807,2362,63989,18818,0.0277330953751,0.772748680667
2025,QantasLink,92983,89581,3402,68084,21497,0.0365873331684,0.760027237919
2025,Rex Airlines,17137,16636,501,12356,4280,0.0292349886211,0.742726616975
2025,Virgin Australia,141386,139016,2370,105587,33429,0.016762621476,0.759531276975
2025,Virgin Australia Regional Airlines,1765,1741,24,1199,542,0.013597733711,0.688684663986
