date,airline_id,route_id,scheduled,flown,cancelled,dep_on_time,arr_on_time,dep_delayed,arr_delayed
2023-01-01,2,2,32,30,2,20,21,10,9
2023-01-01,2,6,31,31,0,25,25,6,6
2023-01-01,2,7,111,103,8,54,64,49,39
2023-01-01,2,8,31,29,2,26,28,3,1
2023-01-01,2,10,122,108,14,91,87,17,21
2023-01-01,2,15,91,90,1,71,62,19,28
2023-01-01,2,16,32,30,2,18,17,12,13
2023-01-01,2,17,89,85,4,60,63,25,22
2023-01-01,2,18,30,30,0,27,27,3,3
2023-01-01,2,19,24,24,0,15,19,9,5
2023-01-01,2,23,31,31,0,22,24,9,7
2023-01-01,2,24,31,31,0,16,15,15,16
2023-01-01,2,25,30,30,0,23,25,7,5
2023-01-01,2,26,164,142,22,91,98,51,44
2023-01-01,2,28,60,60,0,47,48,13,12
2023-01-01,2,29,25,24,1,12,20,12,4
2023-01-01,2,30,37,33,4,25,26,8,7
2023-01-01,2,32,170,145,25,95,99,50,46
2023-01-01,2,33,50,49,1,40,40,9,9
2023-01-01,2,36,89,86,3,60,54,26,32
2023-01-01,2,37,95,91,4,47,52,44,39
2023-01-01,2,38,95,88,7,59,71,29,17
2023-01-01,2,41,31,31,0,24,24,7,7
2023-01-01,2,42,17,17,0,9,10,8,7
2023-01-01,2,43,31,29,2,9,12,20,17
2023-01-01,2,47,23,23,0,13,11,10,12
2023-01-01,2,48,24,24,0,9,7,15,17
2023-01-01,2,50,24,24,0,11,15,13,9
2023-01-01,2,55,31,31,0,22,23,9,8
2023-01-01,2,56,17,17,0,8,10,9,7
2023-01-01,2,57,227,202,25,118,120,84,82
2023-01-01,2,58,294,266,28,196,187,70,79
2023-01-01,2,60,26,26,0,7,7,19,19
2023-01-01,2,61,31,31,0,21,21,10,10
2023-01-01,2,62,211,188,23,94,104,94,84
2023-01-01,2,63,94,92,2,69,71,23,21
2023-01-01,2,66,31,31,0,10,14,21,17
2023-01-01,2,67,151,138,13,67,78,71,60
2023-01-01,2,68,72,70,2,53,52,17,18
2023-01-01,2,69,31,31,0,22,21,9,10
2023-01-01,2,70,111,103,8,54,54,49,49
2023-01-01,2,72,163,141,22,67,72,74,69
2023-01-01,2,73,95,91,4,52,58,39,33
2023-01-01,2,74,31,29,2,10,10,19,19
2023-01-01,2,75,25,25,0,10,11,15,14
2023-01-01,2,77,227,202,25,97,99,105,103
2023-01-01,2,78,211,190,21,97,96,93,94
2023-01-01,2,79,148,135,13,79,77,56,58
2023-01-01,2,81,60,59,1,39,36,20,23
2023-01-01,2,82,75,68,7,35,35,33,33
2023-01-01,2,83,73,68,5,50,47,18,21
2023-01-01,2,84,401,344,57,214,216,130,128
2023-01-01,2,87,60,60,0,46,45,14,15
2023-01-01,2,88,61,60,1,39,41,21,19
2023-01-01,2,90,32,30,2,25,22,5,8
2023-01-01,2,91,25,23,2,13,12,10,11
2023-01-01,2,96,76,67,9,11,21,56,46
2023-01-01,2,99,44,42,2,14,27,28,15
