date,year,month_number,month_label,scheduled,flown,cancelled,arr_on_time,dep_on_time,arr_delayed,cancellation_rate,arrival_otp,departure_otp
2023-01-01,2023,1,2023-01,35133,33877,1256,25667,25653,8210,0.0357498647995,0.757652684712,0.757239424979
2023-02-01,2023,2,2023-02,32198,30764,1434,22387,22633,8377,0.0445369277595,0.727701209206,0.735697568587
2023-03-01,2023,3,2023-03,36425,34968,1457,24487,24669,10481,0.04,0.700268817204,0.705473575841
2023-04-01,2023,4,2023-04,35641,34107,1534,24194,24006,9913,0.043040318734,0.709355850705,0.703843785733
2023-05-01,2023,5,2023-05,36593,35392,1201,25838,25815,9554,0.0328204847922,0.73005198915,0.729402124774
2023-06-01,2023,6,2023-06,35534,34111,1423,23107,23598,11004,0.0400461529802,0.677406115329,0.691800299024
2023-07-01,2023,7,2023-07,37034,35447,1587,23717,23637,11730,0.0428525139061,0.669083420318,0.666826529749
2023-08-01,2023,8,2023-08,37355,35816,1539,25551,25762,10265,0.0411993039754,0.713396247487,0.719287469287
2023-09-01,2023,9,2023-09,36801,35339,1462,25155,24929,10184,0.0397271813266,0.711819802485,0.705424601715
2023-10-01,2023,10,2023-10,37894,36331,1563,25417,25367,10914,0.0412466353512,0.69959538686,0.698219151689
2023-11-01,2023,11,2023-11,35799,34383,1416,21299,21960,13084,0.039554177491,0.619463106768,0.638687723584
2023-12-01,2023,12,2023-12,36095,34260,1835,21131,21718,13129,0.0508380662142,0.616783420899,0.633917104495
2024-01-01,2024,1,2024-01,36228,35046,1182,25293,25504,9753,0.032626697582,0.721708611539,0.727729270102
2024-02-01,2024,2,2024-02,34129,32775,1354,23606,24125,9169,0.039673005362,0.720244088482,0.736079328757
2024-03-01,2024,3,2024-03,36537,35466,1071,27197,27389,8269,0.0293127514574,0.766847121186,0.772260756781
2024-04-01,2024,4,2024-04,36359,35610,749,27986,28168,7624,0.0206001265161,0.785902836282,0.79101376018
2024-05-01,2024,5,2024-05,35998,35210,788,27651,27959,7559,0.0218901050058,0.7853166714,0.794064186311
2024-06-01,2024,6,2024-06,34399,33488,911,25562,25857,7926,0.0264833280037,0.763318203536,0.772127329193
2024-07-01,2024,7,2024-07,37496,36314,1182,25404,25888,10910,0.031523362492,0.699564906097,0.71289309908
2024-08-01,2024,8,2024-08,35024,33903,1121,24127,24615,9776,0.0320066240292,0.711647936761,0.726041943191
2024-09-01,2024,9,2024-09,34886,34137,749,25196,25378,8941,0.0214699306312,0.738084776049,0.743416234584
2024-10-01,2024,10,2024-10,36004,35382,622,25563,25652,9819,0.017275858238,0.722486009836,0.725001413148
2024-11-01,2024,11,2024-11,33946,33060,886,21379,21567,11681,0.0261002769104,0.646672716273,0.652359346642
2024-12-01,2024,12,2024-12,34596,33986,610,24785,24465,9201,0.0176320961961,0.729270876243,0.719855234508
2025-01-01,2025,1,2025-01,33922,33258,664,24417,24325,8841,0.019574317552,0.734169222443,0.731402970714
2025-02-01,2025,2,2025-02,30721,29968,753,23964,23942,6004,0.0245109208685,0.799652963161,0.79891884677
2025-03-01,2025,3,2025-03,34373,32615,1758,26142,26233,6473,0.0511447938789,0.801533036946,0.804323164188
2025-04-01,2025,4,2025-04,34966,34417,549,28436,28278,5981,0.0157009666533,0.826219600779,0.82162884621
2025-05-01,2025,5,2025-05,34448,33770,678,27772,28204,5998,0.019681839294,0.822386733787,0.835179153094
2025-06-01,2025,6,2025-06,33736,32903,833,25884,26124,7019,0.0246917239744,0.786675986992,0.793970154697
2025-07-01,2025,7,2025-07,36906,35728,1178,25400,25849,10328,0.0319189291714,0.71092700403,0.723494178236
2025-08-01,2025,8,2025-08,34905,34067,838,24850,25200,9217,0.0240080217734,0.729444917369,0.739718789444
2025-09-01,2025,9,2025-09,35726,34985,741,27263,27701,7722,0.0207411968874,0.779276832928,0.791796484208
2025-10-01,2025,10,2025-10,36770,35968,802,26109,26436,9859,0.0218112591787,0.725895240214,0.734986654804
2025-11-01,2025,11,2025-11,35299,34206,1093,22946,23889,11260,0.0309640499731,0.670817985149,0.698386248027
2025-12-01,2025,12,2025-12,36334,35656,678,25839,26066,9817,0.0186602080696,0.72467466906,0.731041059008
