date,scheduled,flown,cancelled,dep_on_time,arr_on_time,dep_delayed,arr_delayed
2023-01-01,43972,42591,1381,32664,32660,9927,9931
2023-02-01,40791,39220,1571,28901,28636,10319,10584
2023-03-01,46362,44705,1657,31926,31724,12779,12981
2023-04-01,45204,43421,1783,30911,31190,12510,12231
2023-05-01,45681,44304,1377,32722,32785,11582,11519
2023-06-01,44790,43163,1627,30347,29789,12816,13374
2023-07-01,46555,44710,1845,30435,30497,14275,14213
2023-08-01,46940,45148,1792,33028,32742,12120,12406
2023-09-01,45737,44080,1657,31553,31796,12527,12284
2023-10-01,46976,45205,1771,32157,32162,13048,13043
2023-11-01,45357,43684,1673,28774,28005,14910,15679
2023-12-01,45624,43362,2262,28278,27581,15084,15781
2024-01-01,45828,44409,1419,32947,32597,11462,11812
2024-02-01,43561,41811,1750,31170,30535,10641,11276
2024-03-01,46425,45084,1341,35061,34779,10023,10305
2024-04-01,46511,45444,1067,36238,35978,9206,9466
2024-05-01,46232,45250,982,35898,35529,9352,9721
2024-06-01,45208,44063,1145,34287,33824,9776,10239
2024-07-01,49451,47984,1467,34772,34128,13212,13856
2024-08-01,46647,45278,1369,33544,32932,11734,12346
2024-09-01,46366,45430,936,34576,34322,10854,11108
2024-10-01,47910,47032,878,35220,35060,11812,11972
2024-11-01,45212,44021,1191,30361,30105,13660,13916
2024-12-01,45372,44545,827,32971,33270,11574,11275
2025-01-01,44693,43753,940,33164,33154,10589,10599
2025-02-01,40879,39826,1053,32078,31979,7748,7847
2025-03-01,46007,43698,2309,35268,35064,8430,8634
2025-04-01,46264,45349,915,37259,37375,8090,7974
2025-05-01,45661,44719,942,37299,36772,7420,7947
2025-06-01,44624,43566,1058,34688,34409,8878,9157
2025-07-01,48703,47194,1509,35005,34458,12210,12757
2025-08-01,46223,45127,1096,34079,33658,11048,11469
2025-09-01,46970,46040,930,36776,36304,9264,9736
2025-10-01,48420,47410,1010,35652,35143,11758,12267
2025-11-01,46012,44636,1376,31912,30791,12724,13845
2025-12-01,46893,46023,870,34283,33974,11740,12049
