year,route_id,route,origin,destination,months_reported,scheduled,flown,cancelled,arr_on_time,arr_delayed,cancellation_rate,arrival_otp,cancellation_rank,year_cancellations,cumulative_cancellations,share_of_cancellations,cumulative_share,coverage_note
2023,84,Melbourne-Sydney,Melbourne,Sydney,12,26604,24222,2382,16373,7849,0.0895354082093,0.675955742713,1,17707,2382,0.134523069972,0.134523069972,"Full year / 1,000+ scheduled"
2023,121,Sydney-Melbourne,Sydney,Melbourne,12,26502,24159,2343,16105,8054,0.0884084220059,0.666625274225,2,17707,4725,0.132320551194,0.266843621167,"Full year / 1,000+ scheduled"
2023,32,Brisbane-Sydney,Brisbane,Sydney,12,15782,14864,918,10611,4253,0.0581675326321,0.713872443488,3,17707,5643,0.051843903541,0.318687524708,"Full year / 1,000+ scheduled"
2023,111,Sydney-Brisbane,Sydney,Brisbane,12,15779,14887,892,10201,4686,0.0565308321186,0.685228723047,4,17707,6535,0.050375557689,0.369063082397,"Full year / 1,000+ scheduled"
2023,44,Canberra-Sydney,Canberra,Sydney,12,8078,7418,660,5420,1998,0.0817033919287,0.730655163117,5,17707,7195,0.0372733947027,0.406336477099,"Full year / 1,000+ scheduled"
2023,113,Sydney-Canberra,Sydney,Canberra,12,8075,7459,616,5724,1735,0.0762848297214,0.767395093176,6,17707,7811,0.0347885017225,0.441124978822,"Full year / 1,000+ scheduled"
2023,26,Brisbane-Melbourne,Brisbane,Melbourne,12,11896,11339,557,7622,3717,0.0468224613315,0.672193315107,7,17707,8368,0.0314564861354,0.472581464957,"Full year / 1,000+ scheduled"
2023,72,Melbourne-Brisbane,Melbourne,Brisbane,12,11935,11396,539,7558,3838,0.0451612903226,0.663215163215,8,17707,8907,0.0304399390072,0.503021403965,"Full year / 1,000+ scheduled"
2023,10,Adelaide-Sydney,Adelaide,Sydney,12,6277,5940,337,3977,1963,0.0536880675482,0.669528619529,9,17707,9244,0.0190320212345,0.522053425199,"Full year / 1,000+ scheduled"
2023,58,Gold Coast-Sydney,Gold Coast,Sydney,12,8329,7997,332,5425,2572,0.0398607275783,0.678379392272,10,17707,9576,0.0187496470322,0.540803072231,"Full year / 1,000+ scheduled"
2023,107,Sydney-Adelaide,Sydney,Adelaide,12,6277,5964,313,3850,2114,0.0498645849928,0.645539906103,11,17707,9889,0.0176766250635,0.558479697295,"Full year / 1,000+ scheduled"
2023,117,Sydney-Gold Coast,Sydney,Gold Coast,12,8313,8004,309,5444,2560,0.0371706964995,0.68015992004,12,17707,10198,0.0174507257017,0.575930422997,"Full year / 1,000+ scheduled"
2023,57,Gold Coast-Melbourne,Gold Coast,Melbourne,12,6592,6311,281,4140,2171,0.0426274271845,0.655997464744,13,17707,10479,0.0158694301689,0.591799853165,"Full year / 1,000+ scheduled"
2023,77,Melbourne-Gold Coast,Melbourne,Gold Coast,12,6587,6318,269,4238,2080,0.0408380142705,0.670781893004,14,17707,10748,0.0151917320834,0.606991585249,"Full year / 1,000+ scheduled"
2023,96,Perth-Melbourne,Perth,Melbourne,12,5696,5482,214,3758,1724,0.0375702247191,0.685516234951,15,17707,10962,0.0120856158581,0.619077201107,"Full year / 1,000+ scheduled"
2023,7,Adelaide-Melbourne,Adelaide,Melbourne,12,8206,8002,204,5504,2498,0.02485985864,0.687828042989,16,17707,11166,0.0115208674535,0.63059806856,"Full year / 1,000+ scheduled"
2023,43,Canberra-Melbourne,Canberra,Melbourne,12,5223,5040,183,3333,1707,0.035037334865,0.66130952381,17,17707,11349,0.0103348958039,0.640932964364,"Full year / 1,000+ scheduled"
2023,82,Melbourne-Perth,Melbourne,Perth,12,5575,5393,182,3503,1890,0.0326457399103,0.649545707398,18,17707,11531,0.0102784209635,0.651211385328,"Full year / 1,000+ scheduled"
2023,70,Melbourne-Adelaide,Melbourne,Adelaide,12,8206,8031,175,5328,2703,0.0213258591275,0.663429211804,19,17707,11706,0.00988309708025,0.661094482408,"Full year / 1,000+ scheduled"
